NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,Odd_AH_Neg15_H,Odd_AH_Pos15_A,Odd_AH_Pos15_H,Odd_AH_Neg15_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
128,SUWoSByJ,27/10/2024,13:00,POLAND - DIVISION 1,S. Wola,Polonia Warszawa,ROUND 14,2.7,3.3,2.3,1.36,3.0,1.04,12.0,1.25,3.75,1.85,2.0,1.67,2.1,2.75,1.43,1.58,2.35,5.75,1.14,1.19,4.5,12.0,9.0,12.0,23.0,10.0,6.5,9.5,19.0,15.0,11.0,13.0,26.0,29.0,21.0,29.0,41.0,151.0
129,GY5TOWK8,27/10/2024,13:00,TURKEY - 1. LIG,Istanbulspor AS,Boluspor,ROUND 10,1.75,3.5,4.2,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.85,1.83,1.83,1.75,2.05,1.21,4.25,3.1,1.35,1.05,8.0,10.0,12.0,21.0,41.0,7.0,7.0,15.0,34.0,8.5,8.5,15.0,41.0,15.0,15.0,26.0,51.0,251.0
130,2XbPgb6t,27/10/2024,13:00,TURKEY - SUPER LIG,Fenerbahce,Bodrumspor,ROUND 10,1.22,6.5,11.0,1.3,3.4,1.03,15.0,1.2,4.33,1.62,2.25,2.38,1.53,1.21,4.25,,,1.65,2.2,,,15.0,23.0,51.0,151.0,7.0,13.0,29.0,81.0,5.5,10.0,34.0,67.0,7.0,12.0,34.0,101.0,201.0
131,vNHAXt6D,27/10/2024,13:00,FRANCE - LIGUE 1,Montpellier,Toulouse,ROUND 9,3.0,3.6,2.25,1.33,3.25,1.04,13.0,1.22,4.33,1.73,2.1,1.62,2.2,2.85,1.4,1.65,2.2,6.0,1.13,1.22,4.15,13.0,10.0,12.0,21.0,12.0,7.0,9.0,17.0,17.0,11.0,12.0,23.0,34.0,21.0,26.0,41.0,151.0
132,6ex7IQtJ,27/10/2024,13:00,UKRAINE - PREMIER LEAGUE,Dyn. Kyiv,Shakhtar Donetsk,ROUND 11,2.27,3.15,3.05,1.44,2.42,1.03,10.5,1.32,2.82,1.93,1.7,1.72,1.88,,,,,4.65,1.22,1.11,6.5,8.75,9.0,15.5,40.0,7.5,6.1,10.75,27.0,11.0,9.0,14.0,35.0,23.0,19.0,29.0,65.0,500.0
133,WnksuD4I,27/10/2024,13:00,NORWAY - ELITESERIEN,Haugesund,Molde,ROUND 26,4.75,3.75,1.7,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,1.62,2.2,4.4,1.2,2.1,1.7,,,1.43,2.75,15.0,9.0,9.5,15.0,17.0,7.5,8.5,13.0,26.0,15.0,13.0,21.0,51.0,34.0,34.0,41.0,151.0
134,KdJMr7EE,27/10/2024,13:00,FRANCE - LIGUE 1,Nice,Monaco,ROUND 9,3.2,3.5,2.2,1.36,3.0,1.05,11.0,1.25,4.0,1.8,2.0,1.67,2.1,3.1,1.35,1.7,2.1,6.6,1.11,1.23,4.0,12.0,9.0,11.0,21.0,11.0,6.5,9.0,17.0,17.0,11.0,13.0,23.0,34.0,23.0,29.0,41.0,151.0
135,2DpwtgkC,27/10/2024,13:00,NORWAY - ELITESERIEN,HamKam,Kristiansund,ROUND 26,1.85,3.4,4.33,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,1.62,2.2,1.88,2.02,1.23,4.1,3.1,1.35,1.02,7.3,13.0,15.0,23.0,41.0,9.0,6.5,15.0,34.0,10.0,8.5,12.0,34.0,15.0,13.0,21.0,41.0,151.0
136,nyJebz5t,27/10/2024,13:00,NORWAY - ELITESERIEN,Sarpsborg 08,Viking,ROUND 26,2.55,3.6,2.55,1.22,4.0,1.02,19.0,1.11,6.5,1.44,2.7,1.36,3.0,2.5,1.5,1.5,2.5,4.5,1.19,1.19,4.5,23.0,17.0,19.0,29.0,17.0,8.0,11.0,17.0,19.0,11.0,9.5,19.0,29.0,17.0,19.0,23.0,67.0
137,CrST2GdP,27/10/2024,13:00,NORWAY - ELITESERIEN,Sandefjord,KFUM Oslo,ROUND 26,2.3,3.3,3.1,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.9,1.75,2.0,2.25,1.63,1.38,3.0,4.4,1.2,1.12,6.4,10.0,10.0,15.0,34.0,8.0,6.5,11.0,23.0,11.0,9.5,13.0,34.0,21.0,19.0,29.0,41.0,201.0
138,AwlovXJO,27/10/2024,13:00,NORWAY - ELITESERIEN,Lillestrom,Odd,ROUND 26,1.65,4.0,5.0,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,1.67,2.1,1.65,2.2,1.19,4.5,2.68,1.45,1.03,9.9,15.0,17.0,26.0,51.0,8.5,8.0,15.0,34.0,9.0,8.5,15.0,34.0,13.0,12.0,21.0,41.0,151.0
139,KjQrzZse,27/10/2024,13:30,SPAIN - PRIMERA RFEF,Cultural Leonesa,Ponferradina,GROUP 1 ,1.95,2.75,4.1,1.62,2.2,1.13,5.5,1.57,2.25,2.75,1.4,2.38,1.53,2.05,1.75,1.23,4.0,4.15,1.22,,,5.5,8.5,19.0,41.0,5.5,6.0,17.0,41.0,8.0,10.0,21.0,51.0,17.0,21.0,41.0,81.0,67.0
140,0E90uA5t,27/10/2024,13:30,SLOVENIA - PRVA LIGA,Radomlje,Celje,ROUND 13,4.35,3.7,1.72,1.4,2.75,1.05,7.7,1.27,3.4,1.82,1.91,1.78,1.93,,,2.07,1.7,9.4,1.04,1.33,2.75,7.7,7.2,8.25,13.5,12.5,7.1,8.25,13.5,25.0,14.0,15.5,25.0,70.0,40.0,45.0,70.0,500.0
141,xpl74vM6,27/10/2024,13:30,ITALY - SERIE C,Pineto,Ascoli,GROUP B ,3.4,2.75,2.37,1.55,2.35,1.12,5.3,1.5,2.42,2.42,1.5,2.0,1.72,,,1.57,2.3,7.0,1.03,1.12,4.45,5.3,6.2,10.5,25.0,7.5,5.4,9.25,22.0,16.5,12.0,16.0,37.0,50.0,40.0,55.0,100.0,900.0
142,pAiF2IjJ,27/10/2024,13:30,ITALY - SERIE C,Pontedera,Entella,GROUP B ,3.8,3.0,2.07,1.55,2.35,1.11,5.5,1.5,2.42,2.42,1.5,2.1,1.65,,,1.75,2.02,8.1,1.01,1.17,3.84,5.5,5.7,8.5,18.5,8.0,5.9,9.0,19.5,18.5,14.0,18.5,40.0,60.0,45.0,65.0,120.0,900.0
143,IRywwb4C,27/10/2024,13:30,SPAIN - PRIMERA RFEF,Antequera,Sanluqueno,GROUP 2 ,1.8,3.3,3.8,1.44,2.63,1.06,8.0,1.36,3.0,2.2,1.65,2.0,1.73,1.85,1.95,1.24,3.9,3.45,1.3,1.03,9.2,8.0,10.0,21.0,41.0,6.0,7.0,15.0,41.0,8.0,9.0,19.0,41.0,15.0,17.0,34.0,67.0,900.0
144,0QPlyy85,27/10/2024,13:30,ITALY - SERIE C,Giugliano,Crotone,GROUP C ,2.47,3.1,2.82,1.42,2.67,1.07,7.1,1.3,3.25,1.9,1.85,1.65,2.1,2.25,1.6,,,4.45,1.12,1.08,5.25,7.1,9.25,15.0,35.0,8.5,6.0,10.0,23.0,13.0,9.25,12.0,29.0,28.0,20.0,27.0,50.0,350.0
145,2kM5Xh7U,27/10/2024,13:30,ITALY - SERIE C,Sorrento,Foggia,GROUP C ,2.67,2.95,2.72,1.47,2.5,1.09,6.0,1.42,2.67,2.25,1.6,1.88,1.83,,,,,5.15,1.08,1.07,5.4,6.0,7.6,13.0,32.0,7.1,5.7,10.0,24.0,12.5,10.0,15.0,35.0,30.0,26.0,40.0,80.0,700.0
146,EqY7Orsg,27/10/2024,13:30,ENGLAND - PREMIER LEAGUE,Arsenal,Liverpool,ROUND 9,2.55,3.25,2.88,1.4,2.75,1.06,10.0,1.29,3.75,1.93,1.97,1.67,2.1,2.43,1.53,1.43,2.75,4.8,1.18,1.14,5.75,11.0,11.0,17.0,34.0,10.0,6.5,12.0,23.0,15.0,11.0,13.0,34.0,29.0,21.0,29.0,41.0,201.0
147,296RqHw1,27/10/2024,13:30,POLAND - EKSTRAKLASA,Widzew Lodz,Gornik Zabrze,ROUND 13,2.05,3.4,3.5,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.62,2.2,2.05,1.75,1.3,3.45,3.7,1.26,1.1,7.0,12.0,13.0,19.0,41.0,9.0,6.5,12.0,26.0,11.0,9.0,12.0,29.0,19.0,15.0,23.0,41.0,151.0
148,ABBmcc1C,27/10/2024,13:30,GERMANY - BUNDESLIGA,Union Berlin,Eintracht Frankfurt,ROUND 8,2.6,3.3,2.7,1.4,2.75,1.05,11.0,1.29,3.75,1.95,1.95,1.7,2.05,2.5,1.5,1.48,2.6,5.25,1.16,1.15,5.5,11.0,9.5,13.0,26.0,9.5,6.5,10.0,21.0,13.0,10.0,13.0,29.0,26.0,21.0,29.0,41.0,201.0
149,OUPXh31B,27/10/2024,13:30,ITALY - SERIE C,FeralpiSalo,Lecco,GROUP A ,1.75,3.2,5.1,1.5,2.5,1.09,6.0,1.42,2.65,2.27,1.6,2.1,1.65,1.72,2.05,,,3.1,1.3,1.01,11.0,6.0,11.25,28.0,100.0,5.3,6.3,16.5,60.0,7.1,8.5,18.0,65.0,13.5,16.5,35.0,110.0,201.0
150,KxiX0GR6,27/10/2024,13:45,HUNGARY - OTP BANK LIGA,Gyor,Ferencvaros,ROUND 11,5.75,4.1,1.53,1.3,3.4,1.03,15.0,1.2,4.33,1.65,2.2,1.73,2.0,5.25,1.16,2.38,1.55,10.5,1.01,1.53,2.43,15.0,8.0,8.0,12.0,17.0,8.0,8.5,12.0,29.0,17.0,15.0,21.0,51.0,41.0,41.0,41.0,201.0
151,jwaINpP6,27/10/2024,14:00,ITALY - SERIE A,Inter,Juventus,ROUND 9,1.75,3.5,5.0,1.44,2.63,1.07,9.0,1.36,3.2,2.2,1.67,2.0,1.75,1.73,2.08,1.18,4.65,3.1,1.35,1.02,13.0,8.0,11.0,23.0,51.0,6.0,6.5,17.0,41.0,7.5,8.5,19.0,51.0,13.0,15.0,34.0,67.0,451.0
152,2D04uCm4,27/10/2024,14:00,DENMARK - SUPERLIGA,Midtjylland,Aarhus,ROUND 13,1.95,3.7,3.5,1.33,3.25,1.04,13.0,1.22,4.0,1.7,2.1,1.62,2.2,2.05,1.85,1.33,3.3,3.55,1.28,1.1,7.0,13.0,13.0,19.0,41.0,9.0,7.0,12.0,26.0,11.0,8.5,13.0,29.0,17.0,15.0,21.0,41.0,151.0
153,xKd5R3vn,27/10/2024,14:30,BELGIUM - JUPILER PRO LEAGUE,Gent,Genk,ROUND 12,3.0,3.6,2.2,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.5,2.5,2.85,1.4,1.63,2.25,5.75,1.14,1.23,4.0,17.0,11.0,13.0,21.0,13.0,7.5,9.5,15.0,19.0,11.0,11.0,21.0,34.0,21.0,23.0,34.0,101.0
154,842EOIGL,27/10/2024,14:30,SPAIN - LALIGA,Betis,Atl. Madrid,ROUND 11,3.25,3.25,2.3,1.5,2.5,1.07,8.5,1.4,3.0,2.2,1.67,1.95,1.8,3.0,1.38,1.63,2.25,7.0,1.1,1.19,4.5,8.5,7.0,10.0,21.0,8.0,6.5,9.5,21.0,15.0,11.0,17.0,34.0,34.0,29.0,41.0,51.0,401.0
155,AHtYNP9L,27/10/2024,14:30,SPAIN - LALIGA2,Huesca,Almeria,ROUND 12,2.9,3.0,2.55,1.44,2.63,1.08,8.0,1.36,3.0,2.15,1.67,1.83,1.83,2.75,1.43,1.5,2.5,6.25,1.12,1.15,5.5,8.0,8.0,12.0,23.0,8.5,6.0,10.0,21.0,13.0,11.0,15.0,34.0,29.0,23.0,34.0,51.0,301.0
156,nFiRhDad,27/10/2024,14:30,CROATIA - HNL,Gorica,Istra 1961,ROUND 11,2.6,3.2,2.55,1.44,2.63,1.06,10.0,1.3,3.4,2.05,1.8,1.8,1.91,2.6,1.48,1.48,2.6,5.5,1.15,1.15,5.5,9.5,8.5,13.0,26.0,8.5,6.5,10.0,21.0,13.0,10.0,15.0,29.0,26.0,21.0,29.0,51.0,251.0
157,tO9rD8e3,27/10/2024,14:30,SPAIN - LALIGA2,Albacete,Gijon,ROUND 12,2.3,3.2,3.1,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,1.83,1.83,2.3,1.6,1.38,3.0,4.5,1.19,1.11,6.6,8.5,9.0,15.0,34.0,7.0,6.0,12.0,26.0,11.0,9.5,15.0,41.0,21.0,21.0,34.0,51.0,301.0
158,vuPiNori,27/10/2024,14:45,IRELAND - PREMIER DIVISION,Dundalk,Shamrock Rovers,ROUND 35,8.0,5.25,1.33,1.33,3.25,1.03,15.0,1.22,4.0,1.73,2.08,2.2,1.62,7.0,1.1,3.3,1.33,,,1.83,2.03,12.0,6.5,6.0,8.0,17.0,10.0,9.0,12.0,41.0,23.0,26.0,29.0,101.0,67.0,51.0,81.0,501.0
159,UgROMuvK,27/10/2024,15:00,PORTUGAL - LIGA PORTUGAL,Benfica,Rio Ave,ROUND 9,1.17,7.5,13.0,1.25,3.75,1.02,21.0,1.14,5.5,1.48,2.6,2.1,1.67,1.18,4.8,,,1.55,2.38,,,19.0,29.0,51.0,151.0,8.5,15.0,34.0,81.0,6.5,10.0,29.0,67.0,7.0,11.0,29.0,81.0,501.0
160,CtPzu3dt,27/10/2024,15:00,SERBIA - SUPER LIGA,Napredak,TSC,ROUND 13,5.5,3.9,1.57,1.4,2.75,1.06,7.5,1.29,3.3,1.88,1.87,1.93,1.78,,,2.3,1.57,11.0,1.01,1.42,2.44,7.5,6.4,7.0,11.0,14.0,7.5,8.25,13.0,32.0,17.5,18.0,28.0,110.0,60.0,60.0,90.0,800.0
161,MXVHsclL,27/10/2024,15:00,ECUADOR - LIGA PRO,EL Nacional,Orense,SECOND STAGE ,1.85,3.1,4.5,1.5,2.5,1.08,8.0,1.36,3.0,2.25,1.62,2.0,1.73,1.85,1.95,1.2,4.4,3.45,1.3,1.03,9.4,7.5,11.0,21.0,51.0,6.0,6.0,15.0,41.0,8.0,9.0,17.0,51.0,15.0,17.0,34.0,67.0,1250.0
162,Kr4croCE,27/10/2024,15:00,PERU - LIGA 1,Union Comercio,Sporting Cristal,CLAUSURA ,15.0,6.25,1.18,1.25,3.75,1.02,19.0,1.14,5.5,1.5,2.5,2.2,1.62,6.8,1.11,4.4,1.2,,,2.3,1.6,15.0,8.5,6.5,7.0,29.0,12.0,10.0,11.0,67.0,34.0,26.0,29.0,201.0,101.0,81.0,81.0,351.0
163,WMN2M3ke,27/10/2024,15:00,PERU - LIGA 1,Sport Boys,Cajamarca,CLAUSURA ,1.75,3.5,4.75,1.44,2.63,1.07,8.5,1.33,3.25,2.08,1.73,1.91,1.8,1.75,2.05,1.2,4.4,3.1,1.35,1.02,9.5,8.5,12.0,23.0,51.0,6.5,6.5,15.0,41.0,8.0,8.5,17.0,41.0,13.0,15.0,29.0,51.0,351.0
164,dUdg1Qxf,27/10/2024,15:15,BELGIUM - CHALLENGER PRO LEAGUE,Eupen,Lokeren-Temse,ROUND 9,1.65,4.0,4.75,1.33,3.25,1.04,13.0,1.22,4.0,1.7,2.1,1.73,2.0,1.63,2.25,1.18,4.65,2.6,1.48,1.02,9.6,13.0,15.0,26.0,51.0,8.0,7.5,15.0,41.0,8.5,8.5,15.0,41.0,12.0,13.0,23.0,41.0,201.0
165,0MRf70gU,27/10/2024,15:15,BELGIUM - JUPILER PRO LEAGUE,Royale Union SG,Cercle Brugge KSV,ROUND 12,1.44,4.75,6.25,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,1.91,1.91,1.43,2.75,1.13,5.9,2.15,1.68,1.01,13.0,13.0,17.0,34.0,67.0,7.5,9.0,19.0,41.0,7.0,8.5,19.0,41.0,10.0,12.0,23.0,51.0,301.0
166,OMoZtZZ5,27/10/2024,15:15,NORWAY - ELITESERIEN,Brann,Tromso,ROUND 26,1.55,4.5,5.0,1.3,3.4,1.03,17.0,1.18,4.5,1.62,2.25,1.75,2.0,1.55,2.38,1.18,4.65,2.43,1.53,1.02,11.0,15.0,15.0,29.0,51.0,8.5,9.0,15.0,41.0,8.5,8.0,17.0,41.0,12.0,12.0,21.0,51.0,201.0
167,8tW7jPiT,27/10/2024,15:30,GERMANY - 3. LIGA,Mannheim,Wehen,ROUND 12,2.2,3.5,2.8,1.33,3.25,1.04,13.0,1.22,4.0,1.7,2.1,1.62,2.2,2.25,1.63,1.43,2.75,4.25,1.21,1.14,5.75,13.0,11.0,15.0,29.0,10.0,7.0,11.0,21.0,12.0,9.5,13.0,26.0,21.0,17.0,23.0,41.0,151.0
168,SzhYpjdD,27/10/2024,15:30,SPAIN - PRIMERA RFEF,Zamora,Sestao,GROUP 1 ,1.75,3.2,4.33,1.57,2.25,1.1,6.5,1.5,2.5,2.5,1.5,2.38,1.53,1.78,2.03,1.19,4.5,3.3,1.33,1.02,9.8,6.5,9.5,21.0,51.0,5.0,7.0,17.0,41.0,7.0,10.0,23.0,51.0,13.0,19.0,41.0,101.0,67.0
169,vZwSDraK,27/10/2024,15:30,ITALY - SERIE C,Lucchese,Pescara,GROUP B ,3.2,3.1,2.25,1.4,2.72,1.07,6.7,1.33,3.05,2.0,1.75,1.72,2.0,,,1.62,2.2,6.3,1.04,1.16,3.95,6.7,7.8,11.25,23.0,9.0,6.0,8.75,18.0,16.5,11.0,13.0,27.0,45.0,30.0,37.0,60.0,500.0
170,IuHBicJ5,27/10/2024,15:30,SPAIN - PRIMERA RFEF,Merida AD,Alcoyano,GROUP 2 ,2.35,2.9,2.9,1.57,2.25,1.1,6.5,1.5,2.5,2.5,1.5,2.2,1.62,2.38,1.55,1.38,3.0,5.25,1.16,1.1,7.0,6.5,7.5,13.0,34.0,6.5,6.0,12.0,29.0,10.0,11.0,19.0,41.0,23.0,23.0,41.0,67.0,67.0
171,zyC4c6ee,27/10/2024,15:30,GERMANY - BUNDESLIGA,Heidenheim,Hoffenheim,ROUND 8,2.25,3.5,3.1,1.25,3.75,1.03,17.0,1.14,5.5,1.5,2.63,1.44,2.63,2.06,1.84,1.38,3.0,3.9,1.24,1.14,5.75,17.0,15.0,19.0,34.0,13.0,7.0,12.0,21.0,15.0,9.5,10.0,23.0,23.0,15.0,19.0,29.0,81.0
172,tK16YTIa,27/10/2024,15:30,ICELAND - BESTA DEILD KARLA,Vikingur Reykjavik,Breidablik,CHAMPIONSHIP GROUP ,2.02,3.8,3.1,1.26,3.45,1.03,9.5,1.15,4.75,1.47,2.52,1.44,2.6,1.98,1.78,,,3.22,1.24,1.07,5.55,9.5,15.5,21.0,40.0,12.0,8.0,11.25,23.0,13.0,8.75,11.25,23.0,21.0,14.0,17.5,32.0,175.0
173,lMEoffZQ,27/10/2024,15:30,SPAIN - PRIMERA RFEF,Barcelona B,Barakaldo,GROUP 1 ,2.15,3.4,2.88,1.44,2.63,1.05,8.5,1.36,3.0,2.15,1.67,2.0,1.73,2.2,1.65,1.4,2.85,4.4,1.2,1.11,6.6,8.5,8.0,15.0,34.0,7.0,7.0,12.0,26.0,10.0,10.0,17.0,41.0,21.0,21.0,34.0,51.0,800.0
174,Uoq4OXmC,27/10/2024,16:00,NETHERLANDS - EREDIVISIE,AZ Alkmaar,G.A. Eagles,ROUND 10,1.53,4.2,6.0,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,1.75,2.0,1.53,2.43,1.15,5.5,2.38,1.55,1.02,13.0,13.0,17.0,34.0,67.0,8.0,8.0,17.0,41.0,8.0,8.5,15.0,41.0,11.0,12.0,23.0,51.0,201.0
175,fVaQTFbT,27/10/2024,16:00,GREECE - SUPER LEAGUE,PAOK,OFI Crete,ROUND 9,1.27,5.25,10.0,1.22,3.75,1.02,19.0,1.14,5.5,1.48,2.6,1.91,1.91,1.28,3.55,,,1.78,2.03,,,17.0,26.0,51.0,101.0,9.0,11.0,26.0,51.0,7.0,9.0,19.0,51.0,8.5,11.0,23.0,51.0,251.0
176,YPYTi5lL,27/10/2024,16:00,ROMANIA - LIGA 1,FCSB,FC Rapid Bucuresti,ROUND 14,1.75,3.75,3.5,1.36,3.0,1.04,13.0,1.25,3.75,1.85,2.0,1.8,1.91,1.85,2.0,1.28,3.55,3.3,1.33,1.01,7.7,12.0,11.0,21.0,41.0,7.5,7.5,13.0,29.0,9.0,8.5,17.0,34.0,15.0,15.0,26.0,51.0,251.0
177,WY38mDxe,27/10/2024,16:00,BOLIVIA - DIVISION PROFESIONAL,Tomayapo,Always Ready,CLAUSURA ,2.2,3.3,3.2,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,1.83,1.83,2.15,1.68,1.35,3.1,4.25,1.21,1.11,6.8,8.5,9.0,15.0,34.0,7.0,6.5,12.0,29.0,10.0,9.5,17.0,41.0,21.0,19.0,34.0,51.0,351.0
178,A188XxeU,27/10/2024,16:00,SERBIA - SUPER LIGA,Radnicki Nis,Mladost,ROUND 13,1.82,3.6,4.0,1.34,3.0,1.04,8.25,1.22,3.85,1.7,2.07,1.62,2.18,1.78,1.95,,,2.92,1.29,1.02,7.5,8.25,14.5,25.0,65.0,8.5,7.1,13.0,32.0,9.5,8.0,12.5,32.0,15.5,13.5,21.0,45.0,300.0
179,r9RgWXfJ,27/10/2024,16:00,COLOMBIA - PRIMERA A,Fortaleza,Atl. Nacional,CLAUSURA ,3.2,3.1,2.3,1.5,2.5,1.08,8.0,1.36,3.0,2.2,1.65,1.83,1.83,3.1,1.35,1.6,2.3,7.0,1.1,1.19,4.5,8.0,7.0,10.0,21.0,9.0,6.0,9.5,21.0,15.0,12.0,15.0,34.0,34.0,29.0,41.0,51.0,301.0
180,MmvjL6KO,27/10/2024,16:15,SLOVENIA - PRVA LIGA,O. Ljubljana,Domzale,ROUND 13,1.19,5.6,16.5,1.34,3.0,1.03,9.0,1.18,4.25,1.57,2.27,2.3,1.55,,,,,1.62,2.2,,,9.0,45.0,175.0,900.0,6.9,12.0,50.0,250.0,5.6,9.5,29.0,175.0,6.5,11.0,35.0,150.0,1000.0
181,O2JaVHO7,27/10/2024,16:15,POLAND - EKSTRAKLASA,Legia,GKS Katowice,ROUND 13,1.7,3.8,4.5,1.36,3.0,1.04,13.0,1.25,3.75,1.88,1.98,1.91,1.91,1.73,2.08,1.22,4.15,3.0,1.38,1.03,10.5,11.0,12.0,23.0,51.0,7.0,7.5,15.0,41.0,8.0,8.5,17.0,41.0,13.0,15.0,26.0,51.0,301.0
182,Y1WrHxFN,27/10/2024,16:30,GREECE - SUPER LEAGUE,Athens Kallithea,Atromitos,ROUND 9,2.63,3.2,2.63,1.41,2.62,1.06,10.0,1.33,3.25,2.05,1.75,1.8,1.95,2.6,1.48,1.48,2.6,5.75,1.14,1.14,5.75,9.5,8.5,13.0,26.0,8.5,6.0,10.0,21.0,13.0,10.0,13.0,29.0,26.0,21.0,29.0,51.0,251.0
183,AsQgyP6l,27/10/2024,16:45,FRANCE - LIGUE 1,Marseille,PSG,ROUND 9,4.1,3.7,1.79,1.25,3.75,1.03,17.0,1.17,5.0,1.53,2.5,1.5,2.5,3.7,1.26,2.0,1.9,7.0,1.1,1.35,3.1,17.0,11.0,11.0,17.0,17.0,7.5,9.0,13.0,23.0,13.0,11.0,19.0,41.0,29.0,29.0,34.0,101.0
184,fB59P6ff,27/10/2024,16:45,ITALY - SERIE A,Fiorentina,AS Roma,ROUND 9,2.5,3.4,2.8,1.4,2.75,1.06,9.5,1.33,3.4,2.07,1.83,1.8,1.95,2.43,1.53,1.45,2.68,5.25,1.16,1.13,5.9,9.5,9.0,13.0,29.0,8.5,6.5,11.0,23.0,12.0,10.0,15.0,34.0,23.0,21.0,29.0,51.0,251.0
185,EkmPPou9,27/10/2024,17:00,SPAIN - LALIGA2,Granada CF,Levante,ROUND 12,2.0,3.4,3.75,1.4,2.75,1.05,11.0,1.25,3.75,1.88,1.98,1.73,2.0,2.0,1.85,1.28,3.55,3.55,1.28,1.1,7.0,10.0,12.0,19.0,41.0,8.0,6.5,13.0,29.0,10.0,9.0,13.0,34.0,17.0,15.0,26.0,41.0,201.0
186,jiAoNQdE,27/10/2024,17:00,SPAIN - LALIGA,Real Sociedad,Osasuna,ROUND 11,1.75,3.6,5.0,1.44,2.63,1.08,8.0,1.4,3.0,2.2,1.67,2.05,1.7,1.75,2.05,1.19,4.5,3.1,1.35,1.03,11.5,8.0,11.0,23.0,51.0,6.0,7.0,17.0,41.0,7.5,9.0,19.0,51.0,13.0,15.0,34.0,67.0,501.0
187,OdKfOPKr,27/10/2024,17:15,PERU - LIGA 1,Sport Huancayo,FBC Melgar,CLAUSURA ,4.1,4.0,1.73,1.4,2.75,1.06,10.0,1.33,3.25,2.05,1.8,2.0,1.73,3.9,1.24,2.08,1.73,8.5,1.04,1.35,3.1,10.0,6.5,7.5,13.0,10.0,7.5,8.5,15.0,21.0,13.0,19.0,29.0,51.0,41.0,41.0,67.0,351.0
188,6LuU0bH0,27/10/2024,17:30,PORTUGAL - LIGA PORTUGAL,Estrela,Vitoria Guimaraes,ROUND 9,4.5,3.4,1.85,1.5,2.5,1.08,8.0,1.4,2.75,2.3,1.6,2.05,1.7,4.1,1.23,1.98,1.92,11.0,1.04,1.28,3.55,7.5,6.0,8.0,15.0,10.0,6.5,9.0,17.0,21.0,15.0,19.0,34.0,51.0,41.0,51.0,67.0,501.0
189,AcSDrwZE,27/10/2024,17:30,ECUADOR - LIGA PRO,Barcelona SC,Delfin,SECOND STAGE ,1.67,3.5,5.5,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,2.0,1.73,1.65,2.2,1.16,5.25,2.85,1.4,1.02,10.0,8.5,13.0,26.0,51.0,6.5,7.0,17.0,41.0,7.5,8.5,17.0,51.0,12.0,15.0,29.0,51.0,351.0
190,SE0BJiEk,27/10/2024,17:30,PARAGUAY - PRIMERA DIVISION,Olimpia Asuncion,Cerro Porteno,CLAUSURA ,3.0,2.8,2.6,1.57,2.25,1.11,6.5,1.5,2.5,2.5,1.5,2.1,1.67,2.85,1.4,1.48,2.6,6.8,1.11,1.14,5.75,6.0,6.5,11.0,26.0,7.5,5.5,11.0,26.0,13.0,12.0,17.0,41.0,34.0,29.0,41.0,67.0,1000.0
191,nH4Ie9uS,27/10/2024,18:00,COLOMBIA - PRIMERA A,Deportes Tolima,Envigado,CLAUSURA ,,,,1.55,2.35,1.1,6.0,1.45,2.55,2.32,1.55,2.18,1.6,1.75,2.02,,,,,,,6.0,10.0,24.0,90.0,5.2,6.6,16.0,55.0,6.9,8.75,20.0,70.0,13.5,17.0,40.0,120.0,120.0
192,r154fwo3,27/10/2024,18:00,VENEZUELA - LIGA FUTVE,Carabobo,Estudiantes Merida,CLAUSURA ,2.07,3.1,3.5,1.4,2.5,1.02,7.4,1.35,2.7,2.02,1.62,1.82,1.8,1.95,1.75,,,3.72,1.18,1.02,7.2,8.25,9.75,19.0,50.0,6.4,6.1,12.0,32.0,9.25,8.75,15.0,40.0,19.0,18.5,32.0,75.0,700.0
193,GWfljm3k,27/10/2024,18:00,COLOMBIA - PRIMERA A,Dep. Cali,Jaguares de Cordoba,CLAUSURA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
